0	0	0	0	0	0	0	0	0	0	0
0	5.08075e-11	8.571e-09	1.07935e-06	9.05931e-05	0.00386931	0.00865435	0.00735489	0.00362529	0.00123915	0
0	2.7853e-10	4.65788e-08	5.8055e-06	0.000481038	0.0202202	0.0460363	0.0403182	0.0201506	0.00691852	0
0	1.04341e-09	1.72544e-07	2.11852e-05	0.00171501	0.0687077	0.155913	0.1444	0.0750739	0.0262105	0
0	2.18531e-09	3.56138e-07	4.27726e-05	0.00332381	0.119201	0.256038	0.253894	0.14378	0.0530348	0
0	1.36882e-09	2.21437e-07	2.63533e-05	0.00202417	0.0716053	0.148889	0.143764	0.0812713	0.0305272	0
0	3.28678e-11	5.38846e-09	6.54114e-07	5.21097e-05	0.00203762	0.00433172	0.0038521	0.00202368	0.000731579	0
0	3.95617e-13	6.55396e-11	8.06491e-09	6.55537e-07	2.65831e-05	5.64865e-05	4.86521e-05	2.48483e-05	8.81585e-06	0
0	3.15707e-15	5.27615e-13	6.56096e-11	5.40586e-09	2.23582e-07	4.73207e-07	4.00253e-07	2.01106e-07	7.04612e-08	0
0	1.87651e-17	3.1604e-15	3.96457e-13	3.30083e-11	1.38343e-09	2.91463e-09	2.43469e-09	1.20915e-09	4.1955e-10	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	5.08075e-11	8.571e-09	1.07935e-06	9.05931e-05	0.00386931	0.00865435	0.00735489	0.00362529	0.00123915	0
0	2.7853e-10	4.65788e-08	5.8055e-06	0.000481038	0.0202202	0.0460363	0.0403182	0.0201506	0.00691852	0
0	1.04341e-09	1.72544e-07	2.11852e-05	0.00171501	0.0687077	0.155913	0.1444	0.0750739	0.0262105	0
0	2.18531e-09	3.56138e-07	4.27726e-05	0.00332381	0.119201	0.256038	0.253894	0.14378	0.0530348	0
0	1.36882e-09	2.21437e-07	2.63533e-05	0.00202417	0.0716053	0.148889	0.143764	0.0812713	0.0305272	0
0	3.28678e-11	5.38846e-09	6.54114e-07	5.21097e-05	0.00203762	0.00433172	0.0038521	0.00202368	0.000731579	0
0	3.95617e-13	6.55396e-11	8.06491e-09	6.55537e-07	2.65831e-05	5.64865e-05	4.86521e-05	2.48483e-05	8.81585e-06	0
0	3.15707e-15	5.27615e-13	6.56096e-11	5.40586e-09	2.23582e-07	4.73207e-07	4.00253e-07	2.01106e-07	7.04612e-08	0
0	1.87651e-17	3.1604e-15	3.96457e-13	3.30083e-11	1.38343e-09	2.91463e-09	2.43469e-09	1.20915e-09	4.1955e-10	0
0	0	0	0	0	0	0	0	0	0	0
